Timestamp,ID_REC,ID_SERIES,CALNAME,APPLICATIONNAME,CPFNAME,Property_1_Name,Property_1_Value,Property_1_U,Property_1_H,Property_1_S,Property_1_Flags,Property_2_Name,Property_2_Value,Property_2_U,Property_2_H,Property_2_S,Property_2_Flags,NumSpec,NumSpecOK,NumSpecOK%,Reference Remaining Time,"Number of ""Intensity Too High"" spectra"
10/11/2022 17:53,ILMC tier 5 and 6_25_109_7018153,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.9989,0.743,1.1212,2.8348,,SoyProtein,45.4737,1.41,1.3994,3.2509,,130,28,21.538,0:40:10,0
10/11/2022 17:53,ILMC tier 5 and 6_24_109_7018309,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.6614,0.743,1.1688,2.7303,,SoyProtein,46.5446,1.41,1.5104,3.2615,,130,28,21.538,0:39:42,0
10/11/2022 17:54,ILMC tier 5 and 6_23_109_7018315,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.0757,0.743,1.0707,2.0818,,SoyProtein,47.0461,1.41,1.4719,2.8149,,130,28,21.538,0:39:15,0
10/11/2022 17:54,ILMC tier 5 and 6_22_109_7018302,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.3016,0.744,1.3111,1.9823,,SoyProtein,48.7622,1.41,1.7532,2.8217,,129,24,18.605,0:38:49,0
10/11/2022 17:54,ILMC tier 5 and 6_21_109_7018307,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,20.0566,0.743,1.0675,1.9708,,SoyProtein,45.5543,1.41,0.90159,3.1901,,130,26,20,0:38:23,0
10/11/2022 17:55,ILMC tier 5 and 6_20_109_7018382,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.947,0.744,1.3132,2.7425,,SoyProtein,48.1982,1.41,1.823,3.605,,130,28,21.538,0:37:52,0
10/11/2022 17:55,ILMC tier 5 and 6_19_109_7018390,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.6518,0.745,1.3773,3.0404,,SoyProtein,49.3945,1.42,2.2078,3.3461,,129,23,17.829,0:37:26,0
10/11/2022 17:56,ILMC tier 5 and 6_18_109_7018373,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.6675,0.743,1.1331,3.6342,,SoyProtein,41.5851,1.41,1.5149,3.4141,,130,34,26.154,0:37:01,0
10/11/2022 17:56,ILMC tier 5 and 6_17_109_7018504,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.1249,0.745,1.4296,3.7441,,SoyProtein,49.0947,1.42,2.1844,3.6053,,130,28,21.538,0:36:36,0
10/11/2022 17:57,ILMC tier 5 and 6_16_109_7128761,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,20.7154,0.747,1.7587,4.1102,,SoyProtein,44.2,1.43,2.9263,3.4118,,129,36,27.907,0:36:08,0
10/11/2022 17:57,ILMC tier 5 and 6_15_109_7128759,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.1965,0.743,1.0678,2.2572,,SoyProtein,46.7693,1.41,1.4268,3.0081,,130,32,24.615,0:35:39,0
10/11/2022 17:58,ILMC tier 5 and 6_14_109_7128763,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,17.9047,0.743,1.1369,2.2319,,SoyProtein,49.3333,1.41,1.7753,2.7959,,130,28,21.538,0:35:12,0
10/11/2022 17:58,ILMC tier 5 and 6_13_109_7128762,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,22.4628,0.748,1.9769,3.6765,,SoyProtein,42.0601,1.42,2.6977,3.4591,,130,39,30,0:34:45,0
10/11/2022 17:58,ILMC tier 5 and 6_12_109_7128760,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.9922,0.741,0.81666,4.4981,,SoyProtein,46.929,1.41,1.5683,4.3468,,129,36,27.907,0:34:18,0
10/11/2022 17:59,ILMC tier 5 and 6_11_109_7128755,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.9737,0.746,1.5669,2.4024,,SoyProtein,47.6699,1.41,1.7267,3.5265,,129,27,20.93,0:33:52,0
